,City Name,City Number,Latitude,Temperature,Humidity,Wind Speed,Cloud Cover,Temp in Fahrenheit
0,Mahebourg,934322,-20.41,297.15,64,5.7,40,75.0
1,Jamestown,3370903,-15.94,291.791,100,7.52,76,66.0
2,Ostrovnoy,556268,68.05,277.691,100,3.47,92,40.0
3,Saint-Philippe,935215,-21.36,298.15,44,1.5,0,77.0
4,New Norfolk,2155415,-42.78,293.15,32,8.7,0,68.0
5,Aleksandrovsk-Sakhalinskiy,2127282,50.9,287.141,74,4.37,0,57.0
6,Sembakung,1627877,3.82,306.791,56,0.62,12,93.0
7,Tuatapere,2180815,-46.13,280.941,100,3.42,92,46.0
8,Lebu,3883457,-37.62,284.341,100,6.47,92,52.0
9,Bulgan,2032201,48.81,279.741,74,1.22,32,44.0
10,Iqaluit,5983720,63.75,274.15,69,2.1,75,34.0
11,Dunedin,2191562,-45.87,279.941,85,2.47,36,44.0
12,Kapaa,5848280,22.08,299.87,97,3.6,40,80.0
13,Pangnirtung,6096551,66.15,267.991,88,2.42,0,23.0
14,Sao Joao da Barra,3448903,-21.64,296.691,98,13.37,0,74.0
15,Hasaki,2112802,35.73,291.53,88,5.7,75,65.0
16,Hobart,2163355,-42.88,293.15,32,8.7,0,68.0
17,Bredasdorp,1015776,-34.53,288.15,72,2.6,36,59.0
18,Chuy,3443061,-33.69,288.691,97,9.02,92,60.0
19,Bethel,5880568,60.79,281.45,79,4.6,1,47.0
20,Kavaratti,1267390,10.57,301.791,100,4.02,8,84.0
21,Luderitz,3355672,-26.65,284.391,87,5.47,0,52.0
22,Lorengau,2092164,-2.02,302.341,100,1.42,0,85.0
23,Kruisfontein,986717,-34.0,289.191,74,2.97,0,61.0
24,Punta Arenas,3874787,-53.16,274.15,86,4.6,0,34.0
25,Dakar,2253354,14.69,300.291,100,7.52,8,81.0
26,Saskylakh,2017155,71.97,273.591,88,5.82,0,33.0
27,Resplendor,3451650,-19.33,290.591,100,1.22,64,63.0
28,Nouadhibou,2377457,20.93,301.15,48,7.2,0,82.0
29,Takoradi,2294915,4.89,297.891,96,2.47,92,77.0
30,Pevek,2122090,69.7,280.191,89,6.62,48,45.0
31,Faanui,4034551,-16.48,298.991,100,7.42,0,79.0
32,Beringovskiy,2126710,63.05,280.591,96,10.57,92,45.0
33,Ponta do Sol,3374346,17.2,299.291,98,5.72,100,79.0
34,Tasiilaq,3424607,65.61,275.15,69,1.0,64,36.0
35,Elk City,4535823,35.41,284.43,79,2.6,1,52.0
36,Havre-Saint-Pierre,5972291,50.23,286.15,100,7.2,90,55.0
37,Hailar,2037078,49.2,290.991,49,9.57,8,64.0
38,Ilulissat,3423146,69.22,274.15,55,7.2,68,34.0
39,Najran,103630,17.54,295.15,15,1.62,0,72.0
40,Yellowknife,6185377,62.45,270.15,68,6.7,90,27.0
41,Bluff,2206939,-46.6,283.341,100,7.22,76,50.0
42,Carbonia,2525362,39.17,285.15,81,3.1,0,54.0
43,Constitucion,4011743,23.99,289.991,48,3.72,24,62.0
44,Ushuaia,3833367,-54.81,276.15,55,4.57,20,37.0
45,Calvinia,3369174,-31.47,279.691,80,1.22,0,44.0
46,Rikitea,4030556,-23.12,294.991,100,8.32,92,71.0
47,Gejiu,1810240,23.36,294.641,84,1.22,88,71.0
48,Bandarbeyla,64814,9.49,299.091,94,8.07,0,79.0
49,Almaznyy,582447,48.03,282.741,61,2.07,8,49.0
50,Bam,141736,29.11,302.691,15,2.87,0,85.0
51,Vaini,4032243,-21.2,299.15,69,4.1,40,79.0
52,Yerbogachen,2012956,61.28,282.441,83,1.32,88,49.0
53,Kaseda,1859964,31.42,298.15,61,4.6,40,77.0
54,Boone,4456703,36.22,291.73,96,1.12,75,65.0
55,Georgetown,2411397,-7.93,296.991,100,7.27,88,75.0
56,Ayni,1222222,39.39,286.341,46,0.52,92,56.0
57,Ponta Delgada,3372783,37.73,296.15,88,7.7,40,73.0
58,Moree,2156927,-29.46,297.091,45,2.47,0,75.0
59,Dukat,2125906,62.55,274.541,57,1.62,88,35.0
60,Albany,2077963,-35.02,288.191,68,4.67,32,59.0
61,Catemaco,3531416,18.42,297.741,100,1.42,48,76.0
62,Clarence Town,3572640,23.1,301.541,100,7.57,20,83.0
63,Dongying,1812101,37.43,296.241,55,2.12,12,74.0
64,Roald,3141667,62.58,280.77,70,4.6,75,46.0
65,Praxedis Guerrero,3974771,31.37,292.44,60,2.6,1,67.0
66,Amarpatan,1278899,24.32,306.691,54,2.82,0,92.0
67,Hermanus,3366880,-34.42,286.591,80,3.97,24,56.0
68,Barrow,4252975,39.51,284.63,88,1.27,1,53.0
69,Thompson,6165406,55.74,272.15,92,1.5,75,30.0
70,Manokwari,1636308,-0.87,299.041,100,1.22,44,79.0
71,Paamiut,3421193,61.99,278.041,94,17.82,92,41.0
72,Algiers,2507480,36.75,291.15,88,1.0,20,64.0
73,Norman Wells,6089245,65.28,272.15,86,1.5,40,30.0
74,Cape Town,3369157,-33.93,287.15,87,4.1,75,57.0
75,Inyonga,159134,-6.72,296.691,44,4.32,0,74.0
76,Te Anau,2181625,-45.41,279.891,75,1.42,68,44.0
77,Martapura,1636022,-3.41,307.15,44,3.1,40,93.0
78,Chokurdakh,2126123,70.62,275.891,97,6.52,80,37.0
79,Kodiak,4407665,39.95,279.85,88,4.37,1,44.0
80,Butaritari,2110227,3.07,302.141,100,3.67,20,84.0
81,Winnemucca,5710360,40.97,282.05,12,3.1,1,48.0
82,Tehachapi,5401297,35.13,298.03,35,4.1,1,77.0
83,Ngerengere,151678,-6.76,293.15,88,1.52,40,68.0
84,Padang,1633419,-0.92,301.041,100,1.52,24,82.0
85,Fortuna,5563839,40.6,281.77,100,1.17,1,48.0
86,Adre,245669,13.47,299.291,66,2.72,0,79.0
87,Port Alfred,964432,-33.59,291.091,87,3.92,20,64.0
88,Winslow,5321473,35.02,288.15,7,4.1,1,59.0
89,Ajaccio,6452235,41.93,283.86,76,4.1,0,51.0
90,Sarkand,1519691,45.41,291.991,49,2.07,0,66.0
91,Arraial do Cabo,3471451,-22.97,296.291,87,8.87,0,74.0
92,Normandin,6089179,48.84,281.15,75,2.1,75,46.0
93,Aurillac,3036016,44.93,282.66,66,3.6,0,49.0
94,Qaanaaq,3831208,77.48,267.541,100,3.42,80,22.0
95,Flin Flon,5954718,54.77,275.591,100,0.77,76,36.0
96,La Romana,3500957,18.43,300.15,83,2.6,20,81.0
97,Busselton,2075265,-33.64,290.341,98,5.82,32,63.0
98,Viedma,3832899,-40.81,277.941,81,3.22,68,41.0
99,Ketchikan,5554428,55.34,285.75,96,2.1,90,55.0
100,Port Elizabeth,964420,-33.92,285.15,87,1.5,0,54.0
101,Bud,7626370,62.91,281.49,87,3.1,75,47.0
102,Fatehpur,1179305,31.18,307.091,46,2.02,48,93.0
103,Kutum,371745,14.2,298.891,43,2.72,76,78.0
104,Tuktoyaktuk,6170031,69.44,272.15,86,9.8,75,30.0
105,Nampula,1033356,-15.12,294.15,83,4.1,75,70.0
106,Ribeira Grande,3372707,38.52,296.691,97,8.87,88,74.0
107,Port Blair,1259385,11.67,301.391,100,3.87,32,83.0
108,Avarua,4035715,-21.21,297.15,88,1.5,75,75.0
109,Guerrero Negro,4021858,27.97,291.941,100,3.47,0,66.0
110,Carballo,3126369,43.21,290.15,82,2.6,0,63.0
111,Montelibano,3674470,7.98,294.641,100,1.32,88,71.0
112,Adrar,2508813,27.87,298.15,53,8.7,75,77.0
113,Hoogeveen,2753719,52.72,284.15,93,3.1,92,52.0
114,Khatanga,2022572,71.98,275.891,74,10.57,36,37.0
115,Narsaq,3421719,60.91,277.15,55,1.0,92,39.0
116,Hofn,2630299,64.25,277.391,100,2.57,0,40.0
117,Puerto Ayora,3652764,-0.74,293.941,100,4.67,64,69.0
118,Upernavik,3418910,72.79,274.291,100,6.57,88,34.0
119,Dogondoutchi,2445553,13.64,296.591,83,2.07,0,74.0
120,Esperance,2071860,-33.86,288.741,74,4.47,68,60.0
121,Sorland,3137469,67.67,277.15,100,4.1,75,39.0
